actuarás	actuará
adquirirás	adquirirá
alcanzarás	alcanzará
asegurarás	asegurará
caminarás	caminará
combatirás	combatirá
conocerás	conocerá
consolidarás	consolidará
contendrás	contendrá
contribuirás	contribuirá
correrás	correrá
cortarás	cortará
cubrirás	cubrirá
demostrarás	demostrará
desempeñarás	desempeñará
destacarás	destacará
ejecutarás	ejecutará
elaborarás	elaborará
enfrentarás	enfrentará
entenderás	entenderá
escucharás	escuchará
estarás	estará
evaluarás	evaluará
formarás	formará
instalarás	instalará
intentarás	intentará
investigarás	investigará
leerás	leerá
llorarás	llorará
mejorarás	mejorará
mostrarás	mostrará
parecerás	parecerá
pensarás	pensará
podrás	podrá
presentarás	presentará
proveerás	proveerá
quedarás	quedará
reforzarás	reforzará
representarás	representará
sabrás	sabrá
sacarás	sacará
sentirás	sentirá
soportarás	soportará
sufrirás	sufrirá
tendrás	tendrá
tratarás	tratará
unirás	unirá
venderás	venderá
visitarás	visitará
volverás	volverá
