académico	antiacadémico
alcalino	antialcalino
alcohólico	antialcohólico
alérgico	antialérgico
arruga	antiarrugas
arrítmico	antiarrítmico
artrítico	antiartrítico
artístico	antiartístico
asmático	antiasmático
atómico	antiatómico
canceroso	anticanceroso
capitalismo	anticapitalismo
capitalista	anticapitalista
católico	anticatólico
ciclón	anticiclón
científico	anticientífico
colonial	anticolonial
congelante	anticongelante
corrosivo	anticorrosivo
corrupción	anticorrupción
cuerpo	anticuerpo
deportivo	antideportivo
depresivo	antidepresivo
diftérico	antidiftérico
dinástico	antidinástico
disentérico	antidisentérico
diurético	antidiurético
droga	antidroga
emético	antiemético
epiléptico	antiepiléptico
escorbútico	antiescorbútico
fúngico	antifúngico
hidrópico	antihidrópico
hipertensivo	antihipertensivo
histérico	antihistérico
héroe	antihéroe
liberal	antiliberal
liberalismo	antiliberalismo
magnético	antimagnético
monárquico	antimonárquico
nacionalismo	antinacionalismo
natalismo	antinatalismo
natalista	antinatalista
natura	antinatural
oxidante	antioxidante
palúdico	antipalúdico
parasitario	antiparasitario
patriótico	antipatriótico
religioso	antirreligioso
revolucionario	antirrevolucionario
rábico	antirrábico
semítico	antisemítico
semita	antisemita
sifilítico	antisifilítico
submarino	antisubmarino
tetánico	antitetánico
teísta	antiteísta
toxina	antitoxina
tuberculoso	antituberculoso
tóxico	antitóxico
virus	antivirus
