abuelo	abuelito
amarillo	amarillito
amigo	amiguito
anillo	anillito
animal	animalito
aparato	aparatito
avión	avioncito
azul	azulito
barco	barquito
barril	barrilito
beso	besito
botón	botoncito
brazo	bracito
cacho	cachito
cerdo	cerdito
chancho	chanchito
chango	changuito
chico	chiquito
chino	chinito
chupar	chupito
cielo	cielito
coco	coquito
conejo	conejito
coral	coralito
corazón	corazoncito
corto	cortito
cristal	cristalito
cuadro	cuadrito
cubo	cubito
cuero	cuerito
cuidado	cuidadito
dedo	dedito
equipo	equipito
espejo	espejito
farol	farolito
fino	finito
flaco	flaquito
foto	fotito
fácil	facilito
gallo	gallito
gato	gatito
gusto	gustito
hueso	huesito
huevo	huevito
igual	igualito
juego	jueguito
juguete	juguetito
libro	librito
loco	loquito
mal	malito
mantel	mantelito
mosca	mosquito
motor	motorcito
muchacho	muchachito
muñeco	muñequito
negro	negrito
nieto	nietito
niño	niñito
normal	normalito
ojo	ojito
oso	osito
pantalón	pantaloncito
paso	pasito
pato	patito
pelo	pelito
pequeño	pequeñito
perico	periquito
perro	perrito
pie	piecito
pito	pitito
poco	poquito
pollo	pollito
primo	primito
queso	quesito
rato	ratito
ratón	ratoncito
rebujo	rebujito
rojo	rojito
señor	señorito
sol	solecito
tonto	tontito
tren	trencito
viaje	viajecito
árbol	arbolito
