abordable	inabordable
acabable	inacabable
acabado	inacabado
accesible	inaccesible
acceso	inacceso
acción	inacción
aceptable	inaceptable
activar	inactivar
actividad	inactividad
activo	inactivo
adaptable	inadaptable
adaptado	inadaptado
adecuación	inadecuación
adecuado	inadecuado
admisible	inadmisible
adoptable	inadoptable
advertencia	inadvertencia
advertido	inadvertido
afectado	inafectado
alterado	inalterado
alámbrico	inalámbrico
movible	inamovible
movilidad	inamovilidad
analizable	inanalizable
apagable	inapagable
apeable	inapeable
apetente	inapetente
aplazable	inaplazable
aplicable	inaplicable
aplicación	inaplicación
aplicado	inaplicado
apreciable	inapreciable
aprensible	inaprensible
aprensivo	inaprensivo
apropiable	inapropiable
apropiado	inapropiado
aprovechado	inaprovechado
armónico	inarmónico
arrugable	inarrugable
articulable	inarticulable
artificioso	inartificioso
asequible	inasequible
asistencia	inasistencia
asistente	inasistente
atento	inatento
autorizado	inautorizado
averiguado	inaveriguado
capaz	incapaz
casto	incasto
cautela	incautela
certeza	incerteza
civilizado	incivilizado
clasificable	inclasificable
coherencia	incoherencia
combustible	incombustible
combusto	incombusto
comestible	incomestible
comible	incomible
comparable	incomparable
comportable	incomportable
componible	incomposible
comprendido	incomprendido
comprensivo	incomprensivo
comprensión	incomprensión
compresibilidad	incompresibilidad
compresible	incompresible
comunicación	incomunicación
comunicar	incomunicar
concebible	inconcebible
conceptualizable	inconceptualizable
conciliable	inconciliable
concluso	inconcluso
concreto	inconcreto
condicionado	incondicionado
conducente	inconducente
confesable	inconfesable
confeso	inconfeso
cofidencia	inconfidencia
confidente	inconfidente
conformista	inconformista
confundible	inconfundible
consciente	inconsciente
consiguiente	inconsiguiente
consistencia	inconsistencia
consistente	inconsistente
consolable	inconsolable
contable	incontable
contenible	incontenible
contestabilidad	incontestabilidad
contestable	incontestable
controlado	incontrolado
convencible	inconvencible
convenible	inconvenible
conversable	inconversable
correcto	incorrecto
corrupto	incorrupto
creencia	increencia
creíble	increíble
crédulo	incrédulo
cultivable	incultivable
culto	inculto
cultura	incultura
debido	indebido
decente	indecente
decible	indecible
defectible	indefectible
dehiscente	indehiscente
dependencia	independencia
deseable	indeseable
determinación	indeterminación
digerible	indigerible
discreto	indiscreto
disculpable	indisculpable
disponer	indisponer
disponible	indisponible
disposición	indisposición
estabilidad	inestabilidad
estable	inestable
existente	inexistente
expresable	inexpresable
expresivo	inexpresivo
fecundar	infecundar
fecundizar	infecundizar
formal	informal
fortuna	infortuna
fortuno	infortuno
fructífero	infructífero
funcional	infuncional
fértil	infértil
grávido	ingrávido
habilidad	inhabilidad
habilitar	inhabilitar
habitado	inhabitado
humano	inhumano
inflamable	ininflamable
inteligible	ininteligible
maduro	inmaduro
manejable	inmanejable
memoria	inmemorial
merecido	inmerecido
meritorio	inmeritorio
misericordia	inmisericorde
moralidad	inmoralidad
mérito	inmérito
necesario	innecesario
olvidable	inolvidable
oportuno	inoportuno
quieto	inquieto
seguro	inseguro
sensatez	insensatez
sensato	insensato
sepulto	insepulto
solvencia	insolvencia
solvente	insolvente
tempestivo	intempestivo
trascendente	intrascendente
tratable	intratable
variable	invariable
verisímil	inverisímil
verosímil	inverosímil
vertebrado	invertebrado
vertebrados	invertebrados
vulnerabilidad	invulnerabilidad
vulnerable	invulnerable
realidad	irrealidad
