abanicar	abanicamiento
abaratar	abaratamiento
abarquillar	abarquillamiento
abarrotar	abarrotamiento
abastecer	abastecimiento
abatir	abatimiento
abigarrar	abigarramiento
ablandar	ablandamiento
abocar	abocamiento
	abocinamiento
abogar	abogamiento
abombar	abombamiento
aborrecer	aborrecimiento
abotagar	abotagamiento
abotargarse	abotargamiento
abrasar	abrasamiento
abrazar	abrazamiento
abreviar	abreviamiento
abultar	abultamiento
abundancia	abundamiento
acaecer	acaecimiento
acaparar	acaparamiento
acarear	acareamiento
acarrear	acarreamiento
acatar	acatamiento
acaudillar	acaudillamiento
accionar	accionamiento
acebadar	acebadamiento
acechar	acechamiento
acelerar	aceleramiento
acercar	acercamiento
acertar	acertamiento
acicalar	acicalamiento
aclamar	aclamamiento
acoger	acogimiento
acojinar	acojinamiento
acojonar	acojonamiento
acollarar	acollaramiento
acometer	acometimiento
acomodar	acomodamiento
acompañar	acompañamiento
acomplejar	acomplejamiento
acondicionar	acondicionamiento
acopiar	acopiamiento
acoplar	acoplamiento
acoquinar	acoquinamiento
acorazar	acorazamiento
acorchar	acorchamiento
acorrer	acorrimiento
acortar	acortamiento
acosar	acosamiento
acostar	acostamiento
	acostamiento
acotar	acotamiento
acristalar	acristalamiento
acuciar	acuciamiento
acumular	acumulamiento
adamarse (de	adamamiento
adecenar	adecenamiento
adehesar	adehesamiento
adelantar	adelantamiento
adelgazar	adelgazamiento
aderezar	aderezamiento
adestrar	adestramiento
adiar	adiamiento
adiestrar	adiestramiento
adivinar	adivinamiento
adoctrinar	adoctrinamiento
adormecer	adormecimiento
adormir	adormimiento
adornar	adornamiento
adrizar	adrizamiento
advertir	advertimiento
afear	afeamiento
afeminar	afeminamiento
aferrar	aferramiento
afianzar	afianzamiento
afijar ("fijar")	afijamiento
afijar ("prohijar")	afijamiento
afilar	afilamiento
afinar	afinamiento
afincar	afincamiento
afirmar	afirmamiento
afrailar	afrailamiento
afrancesar	afrancesamiento
agradar	agradamiento
agradecer	agradecimiento
agrandar	agrandamiento
agraviar	agraviamiento
agrupar	agrupamiento
aguaitar	aguaitamiento
aguisar	aguisamiento
ahincar	ahincamiento
aislar	aislamiento
ajardinar	ajardinamiento
ajustar	ajustamiento
ajusticiar	ajusticiamiento
alabar	alabamiento
alambicar	alambicamiento
aleccionar	aleccionamiento
alejar	alejamiento
aligar	aligamiento
aligerar	aligeramiento
alindar	alindamiento
alistar	alistamiento
aliñar	aliñamiento
allanar	allanamiento
almacenar	almacenamiento
alogar	alogamiento
alongar	alongamiento
alquilar	alquilamiento
alucinar	alucinamiento
amalgamar	amalgamamiento
amamantar	amamantamiento
amancebar	amancebamiento
amanerar	amaneramiento
amasar	amasamiento
amedrentar	amedrentamiento
amenguar	amenguamiento
ametrallar	ametrallamiento
amilanar	amilanamiento
amohinar	amohinamiento
amojonar	amojonamiento
amontonar	amontonamiento
anegar	anegamiento
agostar	angostamiento
anihilar	anihilamiento
aniquilar	aniquilamiento
anonadar	anonadamiento
apalear	apaleamiento
aparear	apareamiento
aparecer	aparecimiento
aparejar	aparejamiento
apasionar	apasionamiento
apañar	apañamiento
apedrear	apedreamiento
apelotonar	apelotonamiento
aplacar	aplacamiento
aplanar	aplanamiento
aplatanar	aplatanamiento
apoderar	apoderamiento
apresar	apresamiento
apurar	apuramiento
