abierto	abiertamente
abundante	abundantemente
abundante	abundantemente
aburrido	aburridamente
acabado	acabadamente
académica	académicamente
accesorio	accesoriamente
accidentado	accidentadamente
accidental	accidentalmente
accidental	accidentalmente
accidental	accidentalmente
accidental	accidentalmente
accidental	accidentalmente
acelerada	aceleradamente
acentuada	acentuadamente
acorde	acordemente
acre	acremente
adelantada	adelantadamente
administrativa	administrativamente
afanoso	afanosamente
afectuoso	afectuosamente
afirmativo	afirmativamente
afortunado	afortunadamente
agradable	agradablemente
agresivo	agresivamente
agrio	agriamente
agudo	agudamente
airoso	airosamente
aislado	aisladamente
ajustado	ajustadamente
aleatorio	aleatoriamente
amable	amablemente
amargo	amargamente
ambigua	ambiguamente
amigable	amigablemente
amistoso	amistosamente
amoroso	amorosamente
amplio	ampliamente
analítico	analíticamente
analógico	analógicamente
ancho	anchamente
angosto	angostamente
angustioso	angustiosamente
anterior	anteriormente
anticipado	anticipadamente
anual	anualmente
análoga	análogamente
apacible	apaciblemente
apropiado	apropiadamente
aproximado	aproximadamente
apurado	apuradamente
arbitrario	arbitrariamente
arbitrario	arbitrariamente
ardoroso	ardorosamente
armonioso	armoniosamente
armónico	armónicamente
artero	arteramente
artesanal	artesanalmente
artístico	artísticamente
asiduo	asiduamente
bajo	bajamente
bastante	bastantemente
bello	bellamente
benigno	benignamente
blando	blandamente
brillante	brillantemente
brioso	briosamente
brusco	bruscamente
brutal	brutalmente
básico	básicamente
carnal	carnalmente
categórico	categóricamente
cercano	cercanamente
ciego	ciegamente
científico	científicamente
cierto	ciertamente
clandestino	clandestinamente
claro	claramente
clínico	clínicamente
comparativo	comparativamente
completo	completamente
común	comúnmente
concertado	concertadamente
confidencial	confidencialmente
confusa	confusamente
conjunto	conjuntamente
conocido	conocidamente
considerable	considerablemente
constitucional	constitucionalmente
contiguo	contiguamente
contingente	contingentemente
continuo	continuamente
convencional	convencionalmente
convincente	convincentemente
coordinado	coordinadamente
copioso	copiosamente
cordial	cordialmente
corporal	corporalmente
correcto	correctamente
correlativo	correlativamente
corto	cortamente
costoso	costosamente
cotidiano	cotidianamente
cronológico	cronológicamente
cruel	cruelmente
cruento	cruentamente
crónico	crónicamente
cumplido	cumplidamente
curioso	curiosamente
cándido	cándidamente
cómodo	cómodamente
debido	debidamente
decidido	decididamente
definitivo	definitivamente
deliberado	deliberadamente
delicado	delicadamente
deportivo	deportivamente
desafortunado	desafortunadamente
desagradable	desagradablemente
desapasionado	desapasionadamente
descuidado	descuidadamente
desfavorable	desfavorablemente
desgraciado	desgraciadamente
desmesurado	desmesuradamente
desordenado	desordenadamente
destructivo	destructivamente
diario	diariamente
dichoso	dichosamente
diestro	diestramente
dificultoso	dificultosamente
difícil	difícilmente
digital	digitalmente
digno	dignamente
dinámico	dinámicamente
directo	directamente
discreto	discretamente
disparatado	disparatadamente
distante	distantemente
divino	divinamente
doloroso	dolorosamente
doméstico	domésticamente
dramática	dramáticamente
dudoso	dudosamente
duradera	duraderamente
duro	duramente
ecológico	ecológicamente
económico	económicamente
eficiente	eficientemente
electrónico	electrónicamente
elegante	elegantemente
elíptico	elípticamente
embarazoso	embarazosamente
eminente	eminentemente
emocional	emocionalmente
emotivo	emotivamente
empírico	empíricamente
encarecido	encarecidamente
endiablado	endiabladamente
enfático	enfáticamente
engañoso	engañosamente
enorme	enormemente
entero	enteramente
entrañable	entrañablemente
equivocado	equivocadamente
equívoco	equívocamente
erróneo	erróneamente
escandaloso	escandalosamente
escaso	escasamente
escenográfico	escenográficamente
escrupuloso	escrupulosamente
escueto	escuetamente
esencial	esencialmente
esforzado	esforzadamente
esmerado	esmeradamente
espantoso	espantosamente
especial	especialmente
específico	específicamente
esplendoroso	esplendorosamente
espontáneo	espontáneamente
esquemático	esquemáticamente
esquemático	esquemáticamente
estoico	estoicamente
estupendo	estupendamente
estético	estéticamente
estúpido	estúpidamente
evidente	evidentemente
exacto	exactamente
exagerado	exageradamente
excesivo	excesivamente
exclusivo	exclusivamente
exhaustivo	exhaustivamente
explícito	explícitamente
expresivo	expresivamente
expreso	expresamente
exquisito	exquisitamente
extraordinario	extraordinariamente
extraño	extrañamente
fabuloso	fabulosamente
familiar	familiarmente
famoso	famosamente
fantástico	fantásticamente
fatal	fatalmente
favorable	favorablemente
febril	febrilmente
feliz	felizmente
feroz	ferozmente
fervoroso	fervorosamente
festivo	festivamente
filológico	filológicamente
filosófico	filosóficamente
final	finalmente
fino	finamente
firme	firmemente
formal	formalmente
forzoso	forzosamente
fotográfico	fotográficamente
franca	francamente
franca	francamente
franca	francamente
franca	francamente
frecuente	frecuentemente
fructífero	fructíferamente
frío	fríamente
frívolo	frívolamente
fuerte	fuertemente
furioso	furiosamente
furtivo	furtivamente
fácil	fácilmente
físico	físicamente
gallardo	gallardamente
generoso	generosamente
geográfico	geográficamente
geométrico	geométricamente
glorioso	gloriosamente
gracioso	graciosamente
gramatical	gramaticalmente
grande	grandemente
grato	gratamente
gratuita	gratuitamente
gratuita	gratuitamente
gratuita	gratuitamente
gratuito	gratuitamente
grosero	groseramente
grotesco	grotescamente
gubernativo	gubernativamente
gustoso	gustosamente
habitual	habitualmente
harto	hartamente
hermoso	hermosamente
hermético	herméticamente
heroica	heroicamente
heroica	heroicamente
heroica	heroicamente
heroico	heroicamente
histórico	históricamente
hondo	hondamente
honesto	honestamente
honrado	honradamente
horizontal	horizontalmente
horrible	horriblemente
horroroso	horrorosamente
hábil	hábilmente
ideal	idealmente
idéntico	idénticamente
ilegal	ilegalmente
imperceptible	imperceptiblemente
imperioso	imperiosamente
impetuoso	impetuosamente
impiedad	impíamente
implacable	implacablemente
implícito	implícitamente
imposible	imposiblemente
impropia	impropiamente
improvisado	improvisadamente
imprudente	imprudentemente
impunidad	impunemente
inadvertido	inadvertidamente
inalterable	inalterablemente
incansable	incansablemente
incauto	incautamente
incesante	incesantemente
incidental	incidentalmente
incierto	inciertamente
inclusivo	inclusivamente
incoherente	incoherentemente
incomparable	incomparablemente
incomprensible	incomprensiblemente
incondicional	incondicionalmente
incongruente	incongruentemente
inconsciente	inconscientemente
incorrecta	incorrectamente
incorrecta	incorrectamente
incorregible	incorregiblemente
increíble	increíblemente
incruento	incruentamente
independiente	independientemente
indigno	indignamente
indirecto	indirectamente
individual	individualmente
indudable	indudablemente
inesperado	inesperadamente
inexplicable	inexplicablemente
infatigable	infatigablemente
infeliz	infelizmente
inflexible	inflexiblemente
infortunado	infortunadamente
infructuoso	infructuosamente
ingrato	ingratamente
injurioso	injuriosamente
injustificado	injustificadamente
injusto	injustamente
inmediato	inmediatamente
inmenso	inmensamente
inmerecido	inmerecidamente
inopinada	inopinadamente
insidioso	insidiosamente
insistente	insistentemente
intempestivo	intempestivamente
intensivo	intensivamente
intenso	intensamente
interesado	interesadamente
interior	interiormente
internacional	internacionalmente
interno	internamente
intrincado	intrincadamente
intrépido	intrépidamente
intuitivo	intuitivamente
invisible	invisiblemente
involuntario	involuntariamente
inútil	inútilmente
irracional	irracionalmente
irracional	irracionalmente
irreflexiva	irreflexivamente
irregular	irregularmente
irremisible	irremisiblemente
jocoso	jocosamente
jovial	jovialmente
jubiloso	jubilosamente
judicial	judicialmente
junto	juntamente
jurídico	jurídicamente
justo	justamente
lacónico	lacónicamente
lascivia	lascivamente
lastimero	lastimeramente
lastimoso	lastimosamente
lateral	lateralmente
legal	legalmente
lento	lentamente
lento	lentamente
limitado	limitadamente
lindo	lindamente
literal	literalmente
liviano	livianamente
loco	locamente
longitudinal	longitudinalmente
lujoso	lujosamente
luminoso	luminosamente
lógico	lógicamente
maduro	maduramente
magnánimo	magnánimamente
magnífico	magníficamente
majestuoso	majestuosamente
maldito	malditamente
malicioso	maliciosamente
malo	malamente
manifiesto	manifiestamente
maravilloso	maravillosamente
material	materialmente
mayor	mayormente
mañoso	mañosamente
mecánico	mecánicamente
mercantil	mercantilmente
mercantile	mercantilmente
merecido	merecidamente
meritorio	meritoriamente
mero	meramente
metafísico	metafísicamente
metafórico	metafóricamente
meticulosa	meticulosamente
meticulosa	meticulosamente
meticulosa	meticulosamente
ministerial	ministerialmente
minucioso	minuciosamente
misterioso	misteriosamente
moderno	modernamente
molesto	molestamente
monstruo	monstruosamente
monótono	monótonamente
moral	moralmente
moral	moralmente
mortal	mortalmente
musical	musicalmente
mutuo	mutuamente
mísero	míseramente
nacional	nacionalmente
negativo	negativamente
nervioso	nerviosamente
notable	notablemente
oblicuo	oblicuamente
obvio	obviamente
oficial	oficialmente
oportuno	oportunamente
opresivo	opresivamente
opuesto	opuestamente
ordenado	ordenadamente
oscuro	oscuramente
ostensible	ostensiblemente
ostentoso	ostentosamente
paralelo	paralelamente
parco	parcamente
particular	particularmente
pasivo	pasivamente
pasmoso	pasmosamente
paulatina	paulatinamente
paulatina	paulatinamente
pavoroso	pavorosamente
pedagógico	pedagógicamente
peligroso	peligrosamente
perceptible	perceptiblemente
perdido	perdidamente
perdurable	perdurablemente
perenne	perennemente
perfecto	perfectamente
periódico	periódicamente
perjudicial	perjudicialmente
pertinaz	pertinazmente
pertinente	pertinentemente
placentero	placenteramente
plausible	plausiblemente
pobre	pobremente
político	políticamente
pomposo	pomposamente
popular	popularmente
porfiado	porfiadamente
posible	posiblemente
positivo	positivamente
potencial	potencialmente
poético	poéticamente
precipitada	precipitadamente
preciso	precisamente
prematuro	prematuramente
presto	prestamente
presuroso	presurosamente
primero	primeramente
primoroso	primorosamente
privado	privadamente
privilegiado	privilegiadamente
productivo	productivamente
profesional	profesionalmente
profundo	profundamente
profuso	profusamente
prolija	prolijamente
prolongado	prolongadamente
proporcionado	proporcionadamente
proporcional	proporcionalmente
prudente	prudentemente
práctico	prácticamente
próspero	prósperamente
próximo	próximamente
puro	puramente
pésimo	pésimamente
público	públicamente
quieto	quietamente
químico	químicamente
rabioso	rabiosamente
racional	racionalmente
racional	racionalmente
radical	radicalmente
raro	raramente
raudo	raudamente
razonable	razonablemente
razonado	razonadamente
real	realmente
real	realmente
real	realmente
real	realmente
reciente	recientemente
recio	reciamente
reconocido	reconocidamente
recto	rectamente
reflexivo	reflexivamente
regio	regiamente
regio	regiamente
regular	regularmente
reiterado	reiteradamente
relajado	relajadamente
religioso	religiosamente
repentino	repentinamente
repetido	repetidamente
reservado	reservadamente
respetuoso	respetuosamente
resuelto	resueltamente
ridículo	ridículamente
riguroso	rigurosamente
robusto	robustamente
rotundo	rotundamente
rudo	rudamente
ruidoso	ruidosamente
rápido	rápidamente
rígido	rígidamente
sabroso	sabrosamente
saludable	saludablemente
sano	sanamente
santo	santamente
satisfactorio	satisfactoriamente
seco	secamente
secreto	secretamente
secular	secularmente
secundario	secundariamente
seguido	seguidamente
seguro	seguramente
semanal	semanalmente
semejante	semejantemente
semestral	semestralmente
sencillo	sencillamente
sensato	sensatamente
sensato	sensatamente
sensible	sensiblemente
sentido	sentidamente
separado	separadamente
severo	severamente
sexual	sexualmente
señalada	señaladamente
sigiloso	sigilosamente
simbólico	simbólicamente
simultáneo	simultáneamente
simétrico	simétricamente
sincera	sinceramente
singular	singularmente
siniestro	siniestramente
sintético	sintéticamente
soberbio	soberbiamente
sobrenatural	sobrenaturalmente
solapado	solapadamente
solitario	solitariamente
somero	someramente
sosegado	sosegadamente
sospechoso	sospechosamente
suave	suavemente
subrepticio	subrepticiamente
substancial	substancialmente
sucesivo	sucesivamente
suficiente	suficientemente
sumario	sumariamente
sumo	sumamente
superficial	superficialmente
supersticioso	supersticiosamente
sustancial	sustancialmente
sutil	sutilmente
sólido	sólidamente
súbito	súbitamente
tardía	tardíamente
tecnológico	tecnológicamente
telefónico	telefónicamente
telegráfico	telegráficamente
temerario	temerariamente
temeroso	temerosamente
temporal	temporalmente
temprano	tempranamente
tenaz	tenazmente
terco	tercamente
terrible	terriblemente
teórico	teóricamente
tiránico	tiránicamente
tonto	tontamente
topográfico	topográficamente
tosca	toscamente
tradicional	tradicionalmente
triangular	triangularmente
trimestral	trimestralmente
triste	tristemente
triunfal	triunfalmente
triunfante	triunfantemente
trivial	trivialmente
tumultuosa	tumultuosamente
turístico	turísticamente
tácito	tácitamente
técnica	técnicamente
ulterior	ulteriormente
ultimado	ultimadamente
uniforme	uniformemente
unánime	unánimemente
unívoco	unívocamente
urgente	urgentemente
valeroso	valerosamente
valiente	valientemente
vana	vanamente
veloz	velozmente
verdadero	verdaderamente
vero	veramente
vertical	verticalmente
vertiginoso	vertiginosamente
vigoroso	vigorosamente
vil	vilmente
violenta	violentamente
virtuoso	virtuosamente
visible	visiblemente
vistoso	vistosamente
visual	visualmente
vivo	vivamente
voluntario	voluntariamente
vulgar	vulgarmente
épico	épicamente
último	últimamente
único	únicamente
