después	antes
delante	detrás
anterior	posterior
atrás	delante/adelante
antes	después
comienzo	fin/clausura/conclusión
debajo	encima/sobre
escalar	bajar/descender
muerto	viviente/vivo
decremento	incremento
descender	subir/ascender
noche	día/claridad
abajo	arriba/encima
bajar	ascender/subir/escalar/izar
soltar	encarcelar
dinámico	inactivo/perezoso/pasivo/débil
emplear	desemplear
salida	venida/llegada
caída	ascenso
primero	último
olvidar	recordar/evocar
adelante	atrás
frente	cogote/nuca
dentro	fuera
entrante	saliente
inhalar	exhalar
entrada	salida
adentro	afuera/exterior
interior	externo/superficial
interno	externo/exterior
inverso	recto/propio/ordenado
mortal	imperecedero/perenne/inmortal/eterno
ocupado	desocupar/deshabitar/abandonar
apagado	avivar/encender/prender
fuera	dentro
afuera	dentro/adentro
sobre	faltar
previamente	posteriormente
proceder	causar
levantarse	bajar/descender
sur	norte/septentrional/ártico/boreal
sureste	noroeste
sumergir	emerger
construir	destruir/derribar
imposible	posible/factible/realizable
verdadero	inmaterial/falso/mentiroso/inexacto/falaz/erróneo
bajo	alto/esbelto
arriba	abajo
subir	bajar/descender/disminuir
oeste	este/oriente/naciente
