acoplar	desacoplar
acuerdo	desacuerdo
afina	desafinar
agota	desagotar
ahogar	desahogar
alentar	desalentar
animar	desanimar
apacible	desapacible
aparecer	desaparecer
aprender	desaprender
armar	desarmar
arraigar	desarraigar
ayunar	desayunar
cansar	descansar
congelar	descongelar
conocer	desconocer
coordinación	descoordinación
cortés	descortés
dicha	desdicha
embarcadero	desembarcadero
empeñar	desempeñar
encadenar	desencadenar
encantar	desencantar
encanto	desencanto
enfundar	desenfundar
enterra	desenterrar
esperar	desesperar
fallece	desfallecer
favorable	desfavorable
fuero	desafuero
gracia	desgracia
guarnecer	desguarnecer
habita	deshabitar
hace	deshacer
hoja	deshojar
información	desinformación
merecer	desmerecer
mitifica	desmitificar
mont	desmontar
monta	desmontar
moralizar	desmoralizar
obediente	desobediente
ordenar	desordenar
oír	desoír
pecho	despecho
pegar	despegar
preocuparse	despreocuparse
propósito	despropósito
tensar	destensar
unir	desunir
