abandonabais	abandonó
acelerabais	aceleró
aceptabais	aceptó
agradecíais	agradeció
ampliabais	amplió
aprovechabais	aprovechó
asegurabais	aseguró
atendíais	atendió
cantabais	cantó
comprobabais	comprobó
confiabais	confió
construíais	construyó
contabais	contó
cooperabais	cooperó
cubríais	cubrió
cumplíais	cumplió
dabais	dio
decíais	dijo
dejabais	dejó
empezabais	empezó
examinabais	examinó
explicabais	explicó
formabais	formó
imponíais	impuso
iniciabais	inició
introducíais	introdujo
invertíais	invirtió
limpiabais	limpió
mencionabais	mencionó
mirabais	miró
movíais	movió
operabais	operó
partíais	partió
pedíais	pidió
permanecíais	permaneció
preservabais	preservó
prestabais	prestó
promocionabais	promocionó
proponíais	propuso
recordabais	recordó
sabíais	supo
salíais	salió
salvabais	salvó
satisfacíais	satisfizo
seguíais	siguió
traíais	trajo
veníais	vino
verificabais	verificó
visitabais	visitó
volvíais	volvió
