acuerda	acordábamos
administra	administrábamos
adopta	adoptábamos
aprueba	aprobábamos
aprovecha	aprovechábamos
busca	buscábamos
cambia	cambiábamos
causa	causábamos
cierra	cerrábamos
compra	comprábamos
comprueba	comprobábamos
consolida	consolidábamos
consulta	consultábamos
controla	controlábamos
corre	corríamos
crece	crecíamos
desarrolla	desarrollábamos
describe	describíamos
descubre	descubríamos
encuentra	encontrábamos
entra	entrábamos
escribe	escribíamos
espera	esperábamos
evalúa	evaluábamos
evita	evitábamos
existe	existíamos
explica	explicábamos
facilita	facilitábamos
falla	fallábamos
fortalece	fortalecíamos
ha	habíamos
identifica	identificábamos
limpia	limpiábamos
mejora	mejorábamos
muere	moríamos
obtiene	obteníamos
ofrece	ofrecíamos
olvida	olvidábamos
parece	parecíamos
permanece	permanecíamos
prueba	probábamos
realiza	realizábamos
recuerda	recordábamos
revisa	revisábamos
satisface	satisfacíamos
solicita	solicitábamos
supervisa	supervisábamos
vende	vendíamos
viene	veníamos
vota	votábamos
