acelera	aceleraría
actúa	actuaría
alcanza	alcanzaría
anima	animaría
avanza	avanzaría
averigua	averiguaría
bebe	bebería
completa	completaría
comprende	comprendería
conserva	conservaría
considera	consideraría
consulta	consultaría
continúa	continuaría
convierte	convertiría
da	daría
define	definiría
depende	dependería
desempeña	desempeñaría
discute	discutiría
duerme	dormiría
empieza	empezaría
entiende	entendería
existe	existiría
fortalece	fortalecería
gana	ganaría
hace	haría
incrementa	incrementaría
informa	informaría
integra	integraría
intenta	intentaría
va	iría
lee	leería
limita	limitaría
llega	llegaría
llora	lloraría
localiza	localizaría
obtiene	obtendría
ocurre	ocurriría
organiza	organizaría
parte	partiría
produce	produciría
protege	protegería
refiere	referiría
respeta	respetaría
sabe	sabría
salva	salvaría
es	sería
suma	sumaría
toca	tocaría
viaja	viajaría
