analizaba	analizarán
aplicaba	aplicarán
aprendía	aprenderán
aprobaba	aprobarán
atendía	atenderán
bailaba	bailarán
cantaba	cantarán
comprobaba	comprobarán
concluía	concluirán
confiaba	confiarán
conocía	conocerán
consolidaba	consolidarán
creía	creerán
definía	definirán
dejaba	dejarán
dependía	dependerán
determinaba	determinarán
ejecutaba	ejecutarán
ejercía	ejercerán
entraba	entrarán
escuchaba	escucharán
evaluaba	evaluarán
evitaba	evitarán
formulaba	formularán
garantizaba	garantizarán
guardaba	guardarán
impedía	impedirán
integraba	integrarán
involucraba	involucrarán
leía	leerán
limitaba	limitarán
localizaba	localizarán
lograba	lograrán
mataba	matarán
movía	moverán
ocurría	ocurrirán
permitía	permitirán
prestaba	prestarán
proponía	propondrán
regresaba	regresarán
resolvía	resolverán
salvaba	salvarán
satisfacía	satisfarán
seguía	seguirán
señalaba	señalarán
solicitaba	solicitarán
sufría	sufrirán
utilizaba	utilizarán
veía	verán
verificaba	verificarán
