aceptar	aceptaríamos
analizar	analizaríamos
aparecer	apareceríamos
apoyar	apoyaríamos
aprobar	aprobaríamos
beber	beberíamos
caer	caeríamos
comenzar	comenzaríamos
cortar	cortaríamos
creer	creeríamos
decidir	decidiríamos
definir	definiríamos
demostrar	demostraríamos
descubrir	descubriríamos
destacar	destacaríamos
discutir	discutiríamos
ejercer	ejerceríamos
eliminar	eliminaríamos
estar	estaríamos
evadir	evadiríamos
existir	existiríamos
gestionar	gestionaríamos
iniciar	iniciaríamos
invertir	invertiríamos
llamar	llamaríamos
llevar	llevaríamos
mantener	mantendríamos
olvidar	olvidaríamos
organizar	organizaríamos
parecer	pareceríamos
pasar	pasaríamos
preparar	prepararíamos
recibir	recibiríamos
recordar	recordaríamos
recuperar	recuperaríamos
requerir	requeriríamos
salvar	salvaríamos
sentir	sentiríamos
ser	seríamos
señalar	señalaríamos
solicitar	solicitaríamos
sufrir	sufriríamos
sugerir	sugeriríamos
sumar	sumaríamos
tener	tendríamos
terminar	terminaríamos
unir	uniríamos
venir	vendríamos
viajar	viajaríamos
volver	volveríamos
