abordamos	abordaríamos
aceleramos	aceleraríamos
administramos	administraríamos
adquirimos	adquiriríamos
atendimos	atenderíamos
aumentamos	aumentaríamos
averiguamos	averiguaríamos
bebimos	beberíamos
cantamos	cantaríamos
celebramos	celebraríamos
condujimos	conduciríamos
confiamos	confiaríamos
conocimos	conoceríamos
conservamos	conservaríamos
contamos	contaríamos
convertimos	convertiríamos
creímos	creeríamos
cuidamos	cuidaríamos
designamos	designaríamos
determinamos	determinaríamos
estuvimos	estaríamos
evitamos	evitaríamos
exploramos	exploraríamos
facilitamos	facilitaríamos
fallamos	fallaríamos
funcionamos	funcionaríamos
gastamos	gastaríamos
guardamos	guardaríamos
incluimos	incluiríamos
incorporamos	incorporaríamos
incrementamos	incrementaríamos
introdujimos	introduciríamos
investigamos	investigaríamos
lloramos	lloraríamos
observamos	observaríamos
oímos	oiríamos
produjimos	produciríamos
reemplazamos	reemplazaríamos
requerimos	requeriríamos
resolvimos	resolveríamos
sentamos	sentaríamos
fuimos	seríamos
sugerimos	sugeriríamos
sumamos	sumaríamos
trabajamos	trabajaríamos
tratamos	trataríamos
usamos	usaríamos
vendimos	venderíamos
vinimos	vendríamos
viajamos	viajaríamos
