abandonan	abandonábamos
abren	abríamos
aceleran	acelerábamos
administran	administrábamos
adoptan	adoptábamos
aplican	aplicábamos
aumentan	aumentábamos
ayudan	ayudábamos
comienzan	comenzábamos
completan	completábamos
conocen	conocíamos
consiguen	conseguíamos
definen	definíamos
dependen	dependíamos
describen	describíamos
descubren	descubríamos
destruyen	destruíamos
duermen	dormíamos
elaboran	elaborábamos
eliminan	eliminábamos
enfrentan	enfrentábamos
envían	enviábamos
están	estábamos
evitan	evitábamos
fallan	fallábamos
formulan	formulábamos
generan	generábamos
guardan	guardábamos
han	habíamos
hablan	hablábamos
implican	implicábamos
imponen	imponíamos
indican	indicábamos
introducen	introducíamos
investigan	investigábamos
llaman	llamábamos
llevan	llevábamos
observan	observábamos
piden	pedíamos
piensan	pensábamos
preservan	preservábamos
prueban	probábamos
reconocen	reconocíamos
recuerdan	recordábamos
refuerzan	reforzábamos
regresan	regresábamos
respetan	respetábamos
salen	salíamos
siguen	seguíamos
supervisan	supervisábamos
