abrís	abrirán
accedéis	accederán
alcanzáis	alcanzarán
ampliáis	ampliarán
analizáis	analizarán
anunciáis	anunciarán
avanzáis	avanzarán
añadís	añadirán
camináis	caminarán
casáis	casarán
celebráis	celebrarán
combatís	combatirán
conserváis	conservarán
consistís	consistirán
construís	construirán
contribuís	contribuirán
descargáis	descargarán
desempeñáis	desempeñarán
designáis	designarán
destacáis	destacarán
ejercéis	ejercerán
empezáis	empezarán
estudiáis	estudiarán
explicáis	explicarán
expresáis	expresarán
facilitáis	facilitarán
fortalecéis	fortalecerán
funcionáis	funcionarán
identificáis	identificarán
imagináis	imaginarán
incrementáis	incrementarán
indicáis	indicarán
iniciáis	iniciarán
lloráis	llorarán
lucháis	lucharán
observáis	observarán
organizáis	organizarán
partís	partirán
preserváis	preservarán
prevenís	prevendrán
reducís	reducirán
relacionáis	relacionarán
sabéis	sabrán
sacáis	sacarán
seleccionáis	seleccionarán
señaláis	señalarán
termináis	terminarán
tocáis	tocarán
trabajáis	trabajarán
visitáis	visitarán
