acelerabas	acelerarían
actuabas	actuarían
agradecías	agradecerían
aplicabas	aplicarían
atraías	atraerían
bebías	beberían
buscabas	buscarían
causabas	causarían
cerrabas	cerrarían
comprabas	comprarían
conducías	conducirían
consolidabas	consolidarían
creabas	crearían
dabas	darían
defendías	defenderían
descargabas	descargarían
describías	describirían
elaborabas	elaborarían
formabas	formarían
guardabas	guardarían
habilitabas	habilitarían
imaginabas	imaginarían
informabas	informarían
instalabas	instalarían
involucrabas	involucrarían
llamabas	llamarían
llegabas	llegarían
lograbas	lograrían
matabas	matarían
medías	medirían
modificabas	modificarían
parabas	pararían
permanecías	permanecerían
ponías	pondrían
promocionabas	promocionarían
quedabas	quedarían
recibías	recibirían
recogías	recogerían
reconocías	reconocerían
recuperabas	recuperarían
referías	referirían
respetabas	respetarían
señalabas	señalarían
tocabas	tocarían
trabajabas	trabajarían
traías	traerían
unías	unirían
verificabas	verificarían
viajabas	viajarían
volabas	volarían
