abandonabais	abandonaron
aprendíais	aprendieron
aprobabais	aprobaron
asistíais	asistieron
atendíais	atendieron
ayudabais	ayudaron
cambiabais	cambiaron
casabais	casaron
comenzabais	comenzaron
comprendíais	comprendieron
construíais	construyeron
contabais	contaron
controlabais	controlaron
dabais	dieron
definíais	definieron
deteníais	detuvieron
disfrutabais	disfrutaron
elaborabais	elaboraron
empezabais	empezaron
enseñabais	enseñaron
entrabais	entraron
esperabais	esperaron
formulabais	formularon
incrementabais	incrementaron
indicabais	indicaron
leíais	leyeron
limitabais	limitaron
llegabais	llegaron
llevabais	llevaron
mirabais	miraron
mostrabais	mostraron
ocurríais	ocurrieron
pasabais	pasaron
preguntabais	preguntaron
presentabais	presentaron
promovíais	promovieron
proponíais	propusieron
quedabais	quedaron
realizabais	realizaron
reconocíais	reconocieron
reducíais	redujeron
reemplazabais	reemplazaron
referíais	refirieron
resolvíais	resolvieron
satisfacíais	satisficieron
señalabais	señalaron
usabais	usaron
veníais	vinieron
viajabais	viajaron
vivíais	vivieron
