aceleró	aceleraré
administró	administraré
adquirió	adquiriré
aplicó	aplicaré
atrajo	atraeré
cambió	cambiaré
compartió	compartiré
confió	confiaré
conservó	conservaré
cooperó	cooperaré
coordinó	coordinaré
designó	designaré
dirigió	dirigiré
disfrutó	disfrutaré
ejerció	ejerceré
elaboró	elaboraré
eliminó	eliminaré
empezó	empezaré
enfrentó	enfrentaré
entendió	entenderé
entró	entraré
estudió	estudiaré
explicó	explicaré
falló	fallaré
fomentó	fomentaré
habló	hablaré
impidió	impediré
incorporó	incorporaré
indicó	indicaré
informó	informaré
leyó	leeré
movió	moveré
obtuvo	obtendré
olvidó	olvidaré
participó	participaré
permitió	permitiré
previno	prevendré
produjo	produciré
protegió	protegeré
quedó	quedaré
realizó	realizaré
refirió	referiré
requirió	requeriré
supo	sabré
salvó	salvaré
sufrió	sufriré
tuvo	tendré
vio	veré
visitó	visitaré
voló	volaré
