abandona	abandonaron
administra	administraron
adopta	adoptaron
alienta	alentaron
aprende	aprendieron
asume	asumieron
cae	cayeron
cambia	cambiaron
combate	combatieron
come	comieron
comparte	compartieron
completa	completaron
conduce	condujeron
continúa	continuaron
convierte	convirtieron
descarga	descargaron
detiene	detuvieron
duerme	durmieron
empieza	empezaron
establece	establecieron
explica	explicaron
facilita	facilitaron
formula	formularon
fortalece	fortalecieron
gana	ganaron
ha	hubieron
habilita	habilitaron
identifica	identificaron
impide	impidieron
invierte	invirtieron
llama	llamaron
lleva	llevaron
logra	lograron
menciona	mencionaron
mira	miraron
muere	murieron
mueve	movieron
pasa	pasaron
permite	permitieron
preserva	preservaron
promociona	promocionaron
proporciona	proporcionaron
relaciona	relacionaron
sale	salieron
solicita	solicitaron
supervisa	supervisaron
toma	tomaron
trabaja	trabajaron
verifica	verificaron
vuela	volaron
