abandonabais	abandonaríamos
abordabais	abordaríamos
adoptabais	adoptaríamos
analizabais	analizaríamos
aplicabais	aplicaríamos
aprovechabais	aprovecharíamos
considerabais	consideraríamos
convertíais	convertiríamos
cooperabais	cooperaríamos
crecíais	creceríamos
describíais	describiríamos
determinabais	determinaríamos
ejercíais	ejerceríamos
eliminabais	eliminaríamos
estudiabais	estudiaríamos
firmabais	firmaríamos
generabais	generaríamos
habíais	habríamos
implicabais	implicaríamos
incrementabais	incrementaríamos
introducíais	introduciríamos
invertíais	invertiríamos
llamabais	llamaríamos
modificabais	modificaríamos
observabais	observaríamos
pagabais	pagaríamos
pensabais	pensaríamos
presentabais	presentaríamos
probabais	probaríamos
producíais	produciríamos
promovíais	promoveríamos
proporcionabais	proporcionaríamos
proveíais	proveeríamos
referíais	referiríamos
respetabais	respetaríamos
revisabais	revisaríamos
sacabais	sacaríamos
salvabais	salvaríamos
seleccionabais	seleccionaríamos
sentabais	sentaríamos
servíais	serviríamos
señalabais	señalaríamos
sobrevivíais	sobreviviríamos
sugeríais	sugeriríamos
sumabais	sumaríamos
superabais	superaríamos
terminabais	terminaríamos
tratabais	trataríamos
usabais	usaríamos
veíais	veríamos
