abandono	abandonarían
abro	abrirían
actúo	actuarían
adquiero	adquirirían
analizo	analizarían
aprendo	aprenderían
aprovecho	aprovecharían
avanzo	avanzarían
caigo	caerían
celebro	celebrarían
comienzo	comenzarían
conozco	conocerían
contengo	contendrían
coopero	cooperarían
doy	darían
desarrollo	desarrollarían
desempeño	desempeñarían
destaco	destacarían
determino	determinarían
discuto	discutirían
entro	entrarían
espero	esperarían
estoy	estarían
evito	evitarían
examino	examinarían
informo	informarían
leo	leerían
llamo	llamarían
modifico	modificarían
obtengo	obtendrían
ofrezco	ofrecerían
olvido	olvidarían
parezco	parecerían
pienso	pensarían
pierdo	perderían
permito	permitirían
pregunto	preguntarían
promuevo	promoverían
proveo	proveerían
reconozco	reconocerían
regreso	regresarían
relaciono	relacionarían
robo	robarían
selecciono	seleccionarían
solicito	solicitarían
trabajo	trabajarían
traigo	traerían
vengo	vendrían
verifico	verificarían
viajo	viajarían
