abordabas	abordaréis
actuabas	actuaréis
agradecías	agradeceréis
aprovechabas	aprovecharéis
asegurabas	aseguraréis
comenzabas	comenzaréis
comías	comeréis
confirmabas	confirmaréis
conseguías	conseguiréis
crecías	creceréis
decías	diréis
dejabas	dejaréis
dormías	dormiréis
entrabas	entraréis
enviabas	enviaréis
estabas	estaréis
examinabas	examinaréis
existías	existiréis
funcionabas	funcionaréis
guardabas	guardaréis
indicabas	indicaréis
iniciabas	iniciaréis
investigabas	investigaréis
involucrabas	involucraréis
ibas	iréis
jugabas	jugaréis
llevabas	llevaréis
matabas	mataréis
mirabas	miraréis
modificabas	modificaréis
parabas	pararéis
partías	partiréis
pasabas	pasaréis
permanecías	permaneceréis
preservabas	preservaréis
prevenías	prevendréis
promocionabas	promocionaréis
quedabas	quedaréis
recogías	recogeréis
referías	referiréis
regresabas	regresaréis
sabías	sabréis
sacabas	sacaréis
salías	saldréis
seguías	seguiréis
sumabas	sumaréis
trabajabas	trabajaréis
verificabas	verificaréis
visitabas	visitaréis
volabas	volaréis
