adoptan	adoptaría
amplían	ampliaría
aparecen	aparecería
apoyan	apoyaría
aprenden	aprendería
aseguran	aseguraría
asisten	asistiría
aumentan	aumentaría
ayudan	ayudaría
cambian	cambiaría
casan	casaría
cierran	cerraría
completan	completaría
comprenden	comprendería
consideran	consideraría
consolidan	consolidaría
contienen	contendría
coordinan	coordinaría
creen	creería
cumplen	cumpliría
defienden	defendería
descubren	descubriría
destruyen	destruiría
empiezan	empezaría
encuentran	encontraría
fomentan	fomentaría
han	habría
hablan	hablaría
identifican	identificaría
implican	implicaría
incluyen	incluiría
integran	integraría
intentan	intentaría
llaman	llamaría
mejoran	mejoraría
miran	miraría
obtienen	obtendría
pierden	perdería
promocionan	promocionaría
proporcionan	proporcionaría
reemplazan	reemplazaría
relacionan	relacionaría
responden	respondería
rompen	rompería
sacan	sacaría
salen	saldría
satisfacen	satisfaría
sirven	serviría
terminan	terminaría
visitan	visitaría
