abandonaban	abandonarías
accedían	accederías
aceptaban	aceptarías
acordaban	acordarías
adoptaban	adoptarías
alcanzaban	alcanzarías
animaban	animarías
aprendían	aprenderías
aprobaban	aprobarías
aseguraban	asegurarías
atendían	atenderías
aumentaban	aumentarías
caían	caerías
cambiaban	cambiarías
celebraban	celebrarías
conducían	conducirías
conocían	conocerías
conservaban	conservarías
cooperaban	cooperarías
cortaban	cortarías
crecían	crecerías
daban	darías
defendían	defenderías
desarrollaban	desarrollarías
destacaban	destacarías
discutían	discutirías
elegían	elegirías
eliminaban	eliminarías
establecían	establecerías
expresaban	expresarías
facilitaban	facilitarías
fomentaban	fomentarías
fortalecían	fortalecerías
identificaban	identificarías
impedían	impedirías
imponían	impondrías
integraban	integrarías
llegaban	llegarías
lloraban	llorarías
luchaban	lucharías
organizaban	organizarías
pensaban	pensarías
preservaban	preservarías
proporcionaban	proporcionarías
referían	referirías
salían	saldrías
sobrevivían	sobrevivirías
supervisaban	supervisarías
tomaban	tomarías
volaban	volarías
