actuaréis	actuaríais
animaréis	animaríais
anunciaréis	anunciaríais
aseguraréis	aseguraríais
averiguaréis	averiguaríais
buscaréis	buscaríais
celebraréis	celebraríais
completaréis	completaríais
contendréis	contendríais
cooperaréis	cooperaríais
crearéis	crearíais
definiréis	definiríais
dirigiréis	dirigiríais
ejecutaréis	ejecutaríais
ejerceréis	ejerceríais
evadiréis	evadiríais
evitaréis	evitaríais
fomentaréis	fomentaríais
funcionaréis	funcionaríais
ganaréis	ganaríais
habilitaréis	habilitaríais
hablaréis	hablaríais
identificaréis	identificaríais
impondréis	impondríais
instalaréis	instalaríais
limitaréis	limitaríais
lograréis	lograríais
lucharéis	lucharíais
mencionaréis	mencionaríais
ofreceréis	ofreceríais
pondréis	pondríais
preguntaréis	preguntaríais
presentaréis	presentaríais
preservaréis	preservaríais
proveeréis	proveeríais
publicaréis	publicaríais
quedaréis	quedaríais
recibiréis	recibiríais
recogeréis	recogeríais
recordaréis	recordaríais
relacionaréis	relacionaríais
seréis	seríais
serviréis	serviríais
sumaréis	sumaríais
terminaréis	terminaríais
tomaréis	tomaríais
uniréis	uniríais
vendréis	vendríais
visitaréis	visitaríais
volveréis	volveríais
