abordaron	abordaría
asistieron	asistiría
averiguaron	averiguaría
añadieron	añadiría
causaron	causaría
comenzaron	comenzaría
compraron	compraría
confirmaron	confirmaría
contribuyeron	contribuiría
convirtieron	convertiría
cooperaron	cooperaría
crearon	crearía
decidieron	decidiría
demostraron	demostraría
designaron	designaría
disfrutaron	disfrutaría
durmieron	dormiría
eligieron	elegiría
eliminaron	eliminaría
entendieron	entendería
evaluaron	evaluaría
formularon	formularía
gastaron	gastaría
generaron	generaría
habilitaron	habilitaría
hablaron	hablaría
identificaron	identificaría
implicaron	implicaría
indicaron	indicaría
iniciaron	iniciaría
instalaron	instalaría
intentaron	intentaría
investigaron	investigaría
fueron	iría
llegaron	llegaría
lloraron	lloraría
mejoraron	mejoraría
necesitaron	necesitaría
ocurrieron	ocurriría
organizaron	organizaría
pararon	pararía
pasaron	pasaría
probaron	probaría
recogieron	recogería
seleccionaron	seleccionaría
superaron	superaría
trabajaron	trabajaría
utilizaron	utilizaría
visitaron	visitaría
votaron	votaría
