abandonaréis	abandonarán
abordaréis	abordarán
acordaréis	acordarán
administraréis	administrarán
alentaréis	alentarán
aplicaréis	aplicarán
aseguraréis	asegurarán
atenderéis	atenderán
atraeréis	atraerán
avanzaréis	avanzarán
bailaréis	bailarán
cantaréis	cantarán
combatiréis	combatirán
comenzaréis	comenzarán
conduciréis	conducirán
confirmaréis	confirmarán
controlaréis	controlarán
creeréis	creerán
demostraréis	demostrarán
desarrollaréis	desarrollarán
descubriréis	descubrirán
determinaréis	determinarán
ejecutaréis	ejecutarán
ejerceréis	ejercerán
elaboraréis	elaborarán
eliminaréis	eliminarán
fallaréis	fallarán
gestionaréis	gestionarán
haréis	harán
introduciréis	introducirán
limitaréis	limitarán
limpiaréis	limpiarán
mediréis	medirán
miraréis	mirarán
modificaréis	modificarán
perderéis	perderán
permitiréis	permitirán
podréis	podrán
prestaréis	prestarán
produciréis	producirán
proveeréis	proveerán
representaréis	representarán
seleccionaréis	seleccionarán
sobreviviréis	sobrevivirán
solicitaréis	solicitarán
trabajaréis	trabajarán
trataréis	tratarán
verificaréis	verificarán
viajaréis	viajarán
visitaréis	visitarán
