accedes/accedés	accedería
aceleras/acelerás	aceleraría
acuerdas/acordás	acordaría
agradeces/agradecés	agradecería
apareces/aparecés	aparecería
asumes/asumís	asumiría
ayudas/ayudás	ayudaría
casas/casás	casaría
conviertes/convertís	convertiría
cortas/cortás	cortaría
creces/crecés	crecería
das	daría
dices/decís	diría
dependes/dependés	dependería
descargas/descargás	descargaría
destacas/destacás	destacaría
diriges/dirigís	dirigiría
enseñas/enseñás	enseñaría
entiendes/entendés	entendería
estás	estaría
evades/evadís	evadiría
existes/existís	existiría
formas/formás	formaría
hablas/hablás	hablaría
identificas/identificás	identificaría
impides/impedís	impediría
inviertes/invertís	invertiría
vas	iría
juegas/jugás	jugaría
llegas/llegás	llegaría
mejoras/mejorás	mejoraría
muestras/mostrás	mostraría
necesitas/necesitás	necesitaría
permites/permitís	permitiría
puedes/podés	podría
presentas/presentás	presentaría
promocionas/promocionás	promocionaría
promueves/promovés	promovería
proteges/protegés	protegería
satisfaces/satisfacés	satisfaría
sigues/seguís	seguiría
eres/sos	sería
señalas/señalás	señalaría
sobrevives/sobrevivís	sobreviviría
sugieres/sugerís	sugeriría
supervisas/supervisás	supervisaría
tomas/tomás	tomaría
tratas/tratás	trataría
unes/unís	uniría
vienes/venís	vendría
