abordado	abordará
adoptado	adoptará
analizado	analizará
aprendido	aprenderá
aprobado	aprobará
atraído	atraerá
aumentado	aumentará
averiguado	averiguará
cantado	cantará
completado	completará
comprobado	comprobará
concluido	concluirá
confiado	confiará
conocido	conocerá
consistido	consistirá
contado	contará
creado	creará
creído	creerá
descargado	descargará
destruido	destruirá
dirigido	dirigirá
disfrutado	disfrutará
ejercido	ejercerá
empezado	empezará
entendido	entenderá
evaluado	evaluará
existido	existirá
informado	informará
integrado	integrará
llevado	llevará
mencionado	mencionará
necesitado	necesitará
ofrecido	ofrecerá
parecido	parecerá
pedido	pedirá
pensado	pensará
propuesto	propondrá
proporcionado	proporcionará
recordado	recordará
resuelto	resolverá
sufrido	sufrirá
terminado	terminará
tocado	tocará
traído	traerá
utilizado	utilizará
vendido	venderá
verificado	verificará
viajado	viajará
volado	volará
votado	votará
