abrirás	abrirán
accederás	accederán
administrarás	administrarán
adquirirás	adquirirán
analizarás	analizarán
animarás	animarán
apoyarás	apoyarán
atraerás	atraerán
avanzarás	avanzarán
comerás	comerán
compartirás	compartirán
completarás	completarán
comprarás	comprarán
correrás	correrán
dejarás	dejarán
descubrirás	descubrirán
destacarás	destacarán
entrarás	entrarán
evitarás	evitarán
facilitarás	facilitarán
formarás	formarán
fortalecerás	fortalecerán
funcionarás	funcionarán
habrás	habrán
incorporarás	incorporarán
leerás	leerán
limitarás	limitarán
mencionarás	mencionarán
modificarás	modificarán
observarás	observarán
operarás	operarán
oirás	oirán
participarás	participarán
preguntarás	preguntarán
prestarás	prestarán
promocionarás	promocionarán
publicarás	publicarán
realizarás	realizarán
recuperarás	recuperarán
saldrás	saldrán
satisfarás	satisfarán
seleccionarás	seleccionarán
sentarás	sentarán
sobrevivirás	sobrevivirán
solicitarás	solicitarán
tendrás	tendrán
tomarás	tomarán
traerás	traerán
usarás	usarán
utilizarás	utilizarán
