abandona	abandonará
aborda	abordará
acepta	aceptará
alienta	alentará
aparece	aparecerá
atiende	atenderá
aumenta	aumentará
avanza	avanzará
bebe	beberá
cae	caerá
canta	cantará
consigue	conseguirá
considera	considerará
convierte	convertirá
crece	crecerá
cubre	cubrirá
describe	describirá
discute	discutirá
disfruta	disfrutará
duerme	dormirá
escucha	escuchará
facilita	facilitará
gana	ganará
gasta	gastará
gestiona	gestionará
habilita	habilitará
incrementa	incrementará
intenta	intentará
lee	leerá
limita	limitará
lucha	luchará
maneja	manejará
modifica	modificará
mueve	moverá
olvida	olvidará
organiza	organizará
parece	parecerá
pide	pedirá
pregunta	preguntará
produce	producirá
protege	protegerá
reemplaza	reemplazará
representa	representará
responde	responderá
rompe	romperá
solicita	solicitará
sugiere	sugerirá
toca	tocará
trata	tratará
viaja	viajará
