adoptar	adoptaría
adquirir	adquiriría
aplicar	aplicaría
aprovechar	aprovecharía
avanzar	avanzaría
combatir	combatiría
coordinar	coordinaría
cumplir	cumpliría
dejar	dejaría
destacar	destacaría
dormir	dormiría
elaborar	elaboraría
enfrentar	enfrentaría
establecer	establecería
estar	estaría
explicar	explicaría
firmar	firmaría
formar	formaría
funcionar	funcionaría
habilitar	habilitaría
incorporar	incorporaría
invertir	invertiría
investigar	investigaría
jugar	jugaría
mirar	miraría
morir	moriría
ofrecer	ofrecería
partir	partiría
pensar	pensaría
permitir	permitiría
poder	podría
poner	pondría
preparar	prepararía
presentar	presentaría
recibir	recibiría
reemplazar	reemplazaría
requerir	requeriría
robar	robaría
saber	sabría
salvar	salvaría
seguir	seguiría
ser	sería
solicitar	solicitaría
sufrir	sufriría
sugerir	sugeriría
superar	superaría
utilizar	utilizaría
ver	vería
volar	volaría
votar	votaría
