abandonaban	abandonará
abordaban	abordará
abrían	abrirá
accedían	accederá
acordaban	acordará
actuaban	actuará
ampliaban	ampliará
analizaban	analizará
aparecían	aparecerá
aplicaban	aplicará
aumentaban	aumentará
averiguaban	averiguará
compraban	comprará
consistían	consistirá
construían	construirá
creían	creerá
cubrían	cubrirá
decidían	decidirá
detenían	detendrá
ejecutaban	ejecutará
esperaban	esperará
evitaban	evitará
existían	existirá
fomentaban	fomentará
formulaban	formulará
habían	habrá
imponían	impondrá
informaban	informará
iban	irá
leían	leerá
lloraban	llorará
necesitaban	necesitará
obtenían	obtendrá
ocurrían	ocurrirá
organizaban	organizará
pensaban	pensará
perdían	perderá
preservaban	preservará
prevenían	prevendrá
promocionaban	promocionará
proponían	propondrá
reconocían	reconocerá
respetaban	respetará
seleccionaban	seleccionará
sentaban	sentará
sobrevivían	sobrevivirá
sumaban	sumará
verificaban	verificará
volaban	volará
volvían	volverá
