actuasteis	actuaron
adquiristeis	adquirieron
alcanzasteis	alcanzaron
ampliasteis	ampliaron
asegurasteis	aseguraron
asumisteis	asumieron
ayudasteis	ayudaron
buscasteis	buscaron
cantasteis	cantaron
celebrasteis	celebraron
comprobasteis	comprobaron
consististeis	consistieron
contuvisteis	contuvieron
crecisteis	crecieron
cubristeis	cubrieron
dependisteis	dependieron
desempeñasteis	desempeñaron
eliminasteis	eliminaron
escribisteis	escribieron
estudiasteis	estudiaron
evaluasteis	evaluaron
expresasteis	expresaron
financiasteis	financiaron
formasteis	formaron
funcionasteis	funcionaron
guardasteis	guardaron
impedisteis	impidieron
incluisteis	incluyeron
iniciasteis	iniciaron
llamasteis	llamaron
llorasteis	lloraron
luchasteis	lucharon
mejorasteis	mejoraron
mencionasteis	mencionaron
moristeis	murieron
mostrasteis	mostraron
obtuvisteis	obtuvieron
ofrecisteis	ofrecieron
pagasteis	pagaron
partisteis	partieron
pudisteis	pudieron
publicasteis	publicaron
recordasteis	recordaron
requeristeis	requirieron
resolvisteis	resolvieron
señalasteis	señalaron
supervisasteis	supervisaron
terminasteis	terminaron
trajisteis	trajeron
usasteis	usaron
