adquirirán	adquiriríamos
animarán	animaríamos
aprenderán	aprenderíamos
aprovecharán	aprovecharíamos
asegurarán	aseguraríamos
atenderán	atenderíamos
cambiarán	cambiaríamos
caminarán	caminaríamos
cantarán	cantaríamos
causarán	causaríamos
celebrarán	celebraríamos
conocerán	conoceríamos
conseguirán	conseguiríamos
consistirán	consistiríamos
crearán	crearíamos
elaborarán	elaboraríamos
empezarán	empezaríamos
encontrarán	encontraríamos
esperarán	esperaríamos
estudiarán	estudiaríamos
evaluarán	evaluaríamos
existirán	existiríamos
facilitarán	facilitaríamos
fomentarán	fomentaríamos
fortalecerán	fortaleceríamos
guardarán	guardaríamos
hablarán	hablaríamos
identificarán	identificaríamos
involucrarán	involucraríamos
limitarán	limitaríamos
manejarán	manejaríamos
necesitarán	necesitaríamos
oirán	oiríamos
pararán	pararíamos
parecerán	pareceríamos
prevendrán	prevendríamos
producirán	produciríamos
recibirán	recibiríamos
recogerán	recogeríamos
reconocerán	reconoceríamos
recordarán	recordaríamos
respetarán	respetaríamos
saldrán	saldríamos
satisfarán	satisfaríamos
seguirán	seguiríamos
sentarán	sentaríamos
servirán	serviríamos
tomarán	tomaríamos
viajarán	viajaríamos
votarán	votaríamos
