abandonarías	abandonaría
accederías	accedería
aceptarías	aceptaría
adquirirías	adquiriría
alcanzarías	alcanzaría
atraerías	atraería
bailarías	bailaría
comprobarías	comprobaría
consistirías	consistiría
controlarías	controlaría
decidirías	decidiría
determinarías	determinaría
elaborarías	elaboraría
eliminarías	eliminaría
empezarías	empezaría
enfrentarías	enfrentaría
enseñarías	enseñaría
esperarías	esperaría
evaluarías	evaluaría
evitarías	evitaría
formarías	formaría
imaginarías	imaginaría
incorporarías	incorporaría
iniciarías	iniciaría
integrarías	integraría
intentarías	intentaría
llamarías	llamaría
llorarías	lloraría
mejorarías	mejoraría
modificarías	modificaría
moverías	movería
obtendrías	obtendría
ocurrirías	ocurriría
organizarías	organizaría
pensarías	pensaría
podrías	podría
prestarías	prestaría
reconocerías	reconocería
recuperarías	recuperaría
requerirías	requeriría
resolverías	resolvería
revisarías	revisaría
sacarías	sacaría
saldrías	saldría
seleccionarías	seleccionaría
sugerirías	sugeriría
traerías	traería
tratarías	trataría
volarías	volaría
volverías	volvería
