abordaron	abordaríamos
accedieron	accederíamos
agradecieron	agradeceríamos
alcanzaron	alcanzaríamos
aseguraron	aseguraríamos
asistieron	asistiríamos
atendieron	atenderíamos
averiguaron	averiguaríamos
cantaron	cantaríamos
cerraron	cerraríamos
confiaron	confiaríamos
consideraron	consideraríamos
consolidaron	consolidaríamos
coordinaron	coordinaríamos
dejaron	dejaríamos
destacaron	destacaríamos
detuvieron	detendríamos
empezaron	empezaríamos
encontraron	encontraríamos
escaparon	escaparíamos
existieron	existiríamos
fallaron	fallaríamos
fomentaron	fomentaríamos
implicaron	implicaríamos
llevaron	llevaríamos
lloraron	lloraríamos
lograron	lograríamos
mencionaron	mencionaríamos
modificaron	modificaríamos
pagaron	pagaríamos
parecieron	pareceríamos
perdieron	perderíamos
protegieron	protegeríamos
redujeron	reduciríamos
reforzaron	reforzaríamos
regresaron	regresaríamos
resolvieron	resolveríamos
respetaron	respetaríamos
respondieron	responderíamos
supieron	sabríamos
sacaron	sacaríamos
salvaron	salvaríamos
satisficieron	satisfaríamos
tocaron	tocaríamos
trabajaron	trabajaríamos
unieron	uniríamos
verificaron	verificaríamos
viajaron	viajaríamos
visitaron	visitaríamos
volaron	volaríamos
