abordo	abordaremos
administro	administraremos
adopto	adoptaremos
aparezco	apareceremos
aumento	aumentaremos
avanzo	avanzaremos
bailo	bailaremos
canto	cantaremos
combato	combatiremos
comparto	compartiremos
contengo	contendremos
continúo	continuaremos
corro	correremos
creo	creeremos
cuido	cuidaremos
doy	daremos
defiendo	defenderemos
destruyo	destruiremos
discuto	discutiremos
encuentro	encontraremos
envío	enviaremos
evado	evadiremos
exploro	exploraremos
genero	generaremos
hago	haremos
impido	impediremos
implico	implicaremos
incluyo	incluiremos
intento	intentaremos
involucro	involucraremos
manejo	manejaremos
muestro	mostraremos
paso	pasaremos
pienso	pensaremos
permito	permitiremos
prevengo	prevendremos
produzco	produciremos
quedo	quedaremos
represento	representaremos
sé	sabremos
saco	sacaremos
selecciono	seleccionaremos
sirvo	serviremos
solicito	solicitaremos
sufro	sufriremos
sumo	sumaremos
toco	tocaremos
trabajo	trabajaremos
vivo	viviremos
voto	votaremos
