adquirimos	adquirió
agradecemos	agradeció
ampliamos	amplió
aprendemos	aprendió
aprovechamos	aprovechó
atraemos	atrajo
ayudamos	ayudó
celebramos	celebró
comenzamos	comenzó
compartimos	compartió
conservamos	conservó
consideramos	consideró
cubrimos	cubrió
cumplimos	cumplió
decidimos	decidió
defendemos	defendió
descubrimos	descubrió
desempeñamos	desempeñó
destacamos	destacó
ejercemos	ejerció
enseñamos	enseñó
evaluamos	evaluó
examinamos	examinó
exploramos	exploró
formamos	formó
ganamos	ganó
imaginamos	imaginó
incrementamos	incrementó
iniciamos	inició
integramos	integró
jugamos	jugó
lloramos	lloró
localizamos	localizó
mantenemos	mantuvo
matamos	mató
medimos	midió
mejoramos	mejoró
mostramos	mostró
paramos	paró
ponemos	puso
probamos	probó
promocionamos	promocionó
proveemos	proveyó
reducimos	redujo
regresamos	regresó
rompemos	rompió
sacamos	sacó
salvamos	salvó
sentamos	sentó
sugerimos	sugirió
