abordabais	abordaste
alcanzabais	alcanzaste
alentabais	alentaste
animabais	animaste
aprovechabais	aprovechaste
asistíais	asististe
aumentabais	aumentaste
causabais	causaste
comenzabais	comenzaste
comíais	comiste
completabais	completaste
controlabais	controlaste
cooperabais	cooperaste
corríais	corriste
cubríais	cubriste
cumplíais	cumpliste
decidíais	decidiste
definíais	definiste
dependíais	dependiste
descubríais	descubriste
elaborabais	elaboraste
esperabais	esperaste
evadíais	evadiste
expresabais	expresaste
financiabais	financiaste
firmabais	firmaste
formulabais	formulaste
funcionabais	funcionaste
gastabais	gastaste
gestionabais	gestionaste
habíais	hubiste
implicabais	implicaste
investigabais	investigaste
manejabais	manejaste
manteníais	mantuviste
modificabais	modificaste
mostrabais	mostraste
permanecíais	permaneciste
preguntabais	preguntaste
presentabais	presentaste
proporcionabais	proporcionaste
publicabais	publicaste
referíais	referiste
revisabais	revisaste
robabais	robaste
sentíais	sentiste
sobrevivíais	sobreviviste
soportabais	soportaste
supervisabais	supervisaste
terminabais	terminaste
