abrió	abrieron
accedió	accedieron
aprendió	aprendieron
asumió	asumieron
cambió	cambiaron
cantó	cantaron
casó	casaron
combatió	combatieron
comenzó	comenzaron
comió	comieron
consolidó	consolidaron
consultó	consultaron
continuó	continuaron
convirtió	convirtieron
creó	crearon
cumplió	cumplieron
designó	designaron
destruyó	destruyeron
dirigió	dirigieron
discutió	discutieron
enseñó	enseñaron
escribió	escribieron
esperó	esperaron
estudió	estudiaron
financió	financiaron
fomentó	fomentaron
funcionó	funcionaron
gestionó	gestionaron
impuso	impusieron
incorporó	incorporaron
incrementó	incrementaron
instaló	instalaron
integró	integraron
mantuvo	mantuvieron
necesitó	necesitaron
observó	observaron
participó	participaron
pidió	pidieron
pensó	pensaron
presentó	presentaron
promovió	promovieron
recibió	recibieron
rompió	rompieron
salió	salieron
fue	fueron
sirvió	sirvieron
sobrevivió	sobrevivieron
tuvo	tuvieron
verificó	verificaron
votó	votaron
