abordabais	abordaríais
administrabais	administraríais
anunciabais	anunciaríais
aprendíais	aprenderíais
asumíais	asumiríais
bailabais	bailaríais
cambiabais	cambiaríais
causabais	causaríais
comprendíais	comprenderíais
concluíais	concluiríais
confiabais	confiaríais
conocíais	conoceríais
considerabais	consideraríais
consultabais	consultaríais
controlabais	controlaríais
cooperabais	cooperaríais
coordinabais	coordinaríais
crecíais	creceríais
cuidabais	cuidaríais
deteníais	detendríais
dirigíais	dirigiríais
elaborabais	elaboraríais
elegíais	elegiríais
enfrentabais	enfrentaríais
escapabais	escaparíais
escribíais	escribiríais
evadíais	evadiríais
examinabais	examinaríais
fomentabais	fomentaríais
formulabais	formularíais
funcionabais	funcionaríais
gastabais	gastaríais
incluíais	incluiríais
investigabais	investigaríais
llorabais	lloraríais
lograbais	lograríais
matabais	mataríais
moríais	moriríais
ocurríais	ocurriríais
organizabais	organizaríais
parecíais	pareceríais
presentabais	presentaríais
producíais	produciríais
reforzabais	reforzaríais
satisfacíais	satisfaríais
solicitabais	solicitaríais
sugeríais	sugeriríais
supervisabais	supervisaríais
terminabais	terminaríais
trabajabais	trabajaríais
