abordará	abordarías
anunciará	anunciarías
aparecerá	aparecerías
asumirá	asumirías
aumentará	aumentarías
ayudará	ayudarías
considerará	considerarías
coordinará	coordinarías
creerá	creerías
dará	darías
dejará	dejarías
determinará	determinarías
disfrutará	disfrutarías
explicará	explicarías
expresará	expresarías
facilitará	facilitarías
fallará	fallarías
fomentará	fomentarías
formulará	formularías
generará	generarías
hablará	hablarías
incluirá	incluirías
incorporará	incorporarías
incrementará	incrementarías
informará	informarías
integrará	integrarías
investigará	investigarías
llorará	llorarías
manejará	manejarías
matará	matarías
morirá	morirías
mostrará	mostrarías
ocurrirá	ocurrirías
pagará	pagarías
partirá	partirías
podrá	podrías
pondrá	pondrías
producirá	producirías
recibirá	recibirías
recuperará	recuperarías
reducirá	reducirías
requerirá	requerirías
romperá	romperías
seguirá	seguirías
seleccionará	seleccionarías
sumará	sumarías
tocará	tocarías
trabajará	trabajarías
utilizará	utilizarías
volará	volarías
