alcanzar	alcanzó
aprobar	aprobó
atraer	atrajo
avanzar	avanzó
averiguar	averiguó
caer	cayó
caminar	caminó
comprender	comprendió
consolidar	consolidó
contar	contó
dejar	dejó
descubrir	descubrió
desempeñar	desempeñó
destruir	destruyó
disfrutar	disfrutó
escribir	escribió
estudiar	estudió
evadir	evadió
evaluar	evaluó
examinar	examinó
explicar	explicó
explorar	exploró
financiar	financió
funcionar	funcionó
haber	hubo
habilitar	habilitó
identificar	identificó
introducir	introdujo
mirar	miró
modificar	modificó
mover	movió
ocurrir	ocurrió
organizar	organizó
oír	oyó
pensar	pensó
realizar	realizó
referir	refirió
reforzar	reforzó
relacionar	relacionó
representar	representó
resolver	resolvió
sacar	sacó
salvar	salvó
satisfacer	satisfizo
soportar	soportó
terminar	terminó
trabajar	trabajó
volar	voló
volver	volvió
votar	votó
