abordaron	abordará
acordaron	acordará
adoptaron	adoptará
aparecieron	aparecerá
aumentaron	aumentará
ayudaron	ayudará
buscaron	buscará
cantaron	cantará
comenzaron	comenzará
compartieron	compartirá
condujeron	conducirá
conservaron	conservará
construyeron	construirá
convirtieron	convertirá
cooperaron	cooperará
designaron	designará
detuvieron	detendrá
durmieron	dormirá
ejercieron	ejercerá
enseñaron	enseñará
enviaron	enviará
escaparon	escapará
esperaron	esperará
existieron	existirá
formularon	formulará
habilitaron	habilitará
hablaron	hablará
identificaron	identificará
imaginaron	imaginará
introdujeron	introducirá
lucharon	luchará
mantuvieron	mantendrá
oyeron	oirá
pagaron	pagará
pudieron	podrá
promocionaron	promocionará
recogieron	recogerá
reforzaron	reforzará
representaron	representará
respondieron	responderá
satisficieron	satisfará
fueron	será
solicitaron	solicitará
soportaron	soportará
trajeron	traerá
utilizaron	utilizará
vieron	verá
viajaron	viajará
vivieron	vivirá
volaron	volará
