acelerado	aceleraba
anunciado	anunciaba
atendido	atendía
comenzado	comenzaba
conducido	conducía
conseguido	conseguía
conservado	conservaba
contenido	contenía
continuado	continuaba
contribuido	contribuía
cortado	cortaba
cuidado	cuidaba
demostrado	demostraba
descargado	descargaba
desempeñado	desempeñaba
destacado	destacaba
dirigido	dirigía
dormido	dormía
establecido	establecía
expresado	expresaba
fallado	fallaba
fomentado	fomentaba
formulado	formulaba
ganado	ganaba
guardado	guardaba
hablado	hablaba
hecho	hacía
identificado	identificaba
implicado	implicaba
incrementado	incrementaba
iniciado	iniciaba
integrado	integraba
intentado	intentaba
invertido	invertía
mostrado	mostraba
movido	movía
necesitado	necesitaba
obtenido	obtenía
operado	operaba
organizado	organizaba
protegido	protegía
quedado	quedaba
recogido	recogía
reemplazado	reemplazaba
resuelto	resolvía
respetado	respetaba
respondido	respondía
unido	unía
venido	venía
votado	votaba
