abandonar	abandonabas
animar	animabas
asegurar	asegurabas
aumentar	aumentabas
beber	bebías
caer	caías
conservar	conservabas
considerar	considerabas
consolidar	consolidabas
convertir	convertías
definir	definías
designar	designabas
destacar	destacabas
disfrutar	disfrutabas
ejercer	ejercías
establecer	establecías
estudiar	estudiabas
evadir	evadías
explicar	explicabas
haber	habías
hablar	hablabas
integrar	integrabas
investigar	investigabas
jugar	jugabas
llegar	llegabas
llevar	llevabas
localizar	localizabas
lograr	lograbas
mencionar	mencionabas
mover	movías
ocurrir	ocurrías
participar	participabas
pasar	pasabas
permanecer	permanecías
poder	podías
promocionar	promocionabas
proporcionar	proporcionabas
proveer	proveías
recibir	recibías
reducir	reducías
reemplazar	reemplazabas
referir	referías
reforzar	reforzabas
resolver	resolvías
respetar	respetabas
revisar	revisabas
ser	eras
tratar	tratabas
verificar	verificabas
visitar	visitabas
