aceptando	aceptará
ampliando	ampliará
aprendiendo	aprenderá
aprovechando	aprovechará
asegurando	asegurará
asumiendo	asumirá
atendiendo	atenderá
avanzando	avanzará
cambiando	cambiará
caminando	caminará
cantando	cantará
completando	completará
confiando	confiará
consolidando	consolidará
consultando	consultará
convirtiendo	convertirá
cooperando	cooperará
cortando	cortará
creciendo	crecerá
cumpliendo	cumplirá
decidiendo	decidirá
definiendo	definirá
descargando	descargará
designando	designará
discutiendo	discutirá
eligiendo	elegirá
entendiendo	entenderá
entrando	entrará
fallando	fallará
formulando	formulará
garantizando	garantizará
gastando	gastará
guardando	guardará
habiendo	habrá
iniciando	iniciará
invirtiendo	invertirá
limpiando	limpiará
llevando	llevará
muriendo	morirá
pensando	pensará
recordando	recordará
reforzando	reforzará
requiriendo	requerirá
revisando	revisará
sacando	sacará
sirviendo	servirá
sumando	sumará
supervisando	supervisará
tocando	tocará
trabajando	trabajará
