administraste	administraría
adquiriste	adquiriría
alcanzaste	alcanzaría
animaste	animaría
apoyaste	apoyaría
bailaste	bailaría
cambiaste	cambiaría
casaste	casaría
combatiste	combatiría
completaste	completaría
comprobaste	comprobaría
conseguiste	conseguiría
contaste	contaría
defendiste	defendería
dejaste	dejaría
detuviste	detendría
determinaste	determinaría
entendiste	entendería
estableciste	establecería
estudiaste	estudiaría
examinaste	examinaría
exististe	existiría
expresaste	expresaría
fomentaste	fomentaría
formulaste	formularía
funcionaste	funcionaría
hablaste	hablaría
identificaste	identificaría
invertiste	invertiría
localizaste	localizaría
mataste	mataría
mencionaste	mencionaría
perdiste	perdería
preservaste	preservaría
promocionaste	promocionaría
publicaste	publicaría
redujiste	reduciría
reforzaste	reforzaría
relacionaste	relacionaría
supiste	sabría
saliste	saldría
salvaste	salvaría
satisficiste	satisfaría
seleccionaste	seleccionaría
sufriste	sufriría
sumaste	sumaría
supervisaste	supervisaría
terminaste	terminaría
tomaste	tomaría
votaste	votaría
