aceleró	acelerarían
adoptó	adoptarían
adquirió	adquirirían
agradeció	agradecerían
alcanzó	alcanzarían
alentó	alentarían
animó	animarían
aprovechó	aprovecharían
aseguró	asegurarían
asumió	asumirían
añadió	añadirían
cayó	caerían
cambió	cambiarían
conoció	conocerían
consiguió	conseguirían
consolidó	consolidarían
consultó	consultarían
dejó	dejarían
dependió	dependerían
descargó	descargarían
designó	designarían
discutió	discutirían
eligió	elegirían
escuchó	escucharían
estudió	estudiarían
fortaleció	fortalecerían
funcionó	funcionarían
generó	generarían
habló	hablarían
incluyó	incluirían
investigó	investigarían
fue	irían
modificó	modificarían
olvidó	olvidarían
oyó	oirían
pasó	pasarían
pidió	pedirían
pensó	pensarían
preguntó	preguntarían
previno	prevendrían
publicó	publicarían
realizó	realizarían
reconoció	reconocerían
reforzó	reforzarían
requirió	requerirían
revisó	revisarían
supo	sabrían
sentó	sentarían
sintió	sentirían
vivió	vivirían
