acceden	accedía
administran	administraba
adquieren	adquiría
animan	animaba
aparecen	aparecía
aprenden	aprendía
aprovechan	aprovechaba
atraen	atraía
averiguan	averiguaba
bailan	bailaba
buscan	buscaba
celebran	celebraba
combaten	combatía
comienzan	comenzaba
comprenden	comprendía
conocen	conocía
consideran	consideraba
consultan	consultaba
cooperan	cooperaba
creen	creía
determinan	determinaba
discuten	discutía
eliminan	eliminaba
escriben	escribía
evaden	evadía
examinan	examinaba
existen	existía
explican	explicaba
exploran	exploraba
han	había
informan	informaba
llevan	llevaba
logran	lograba
mantienen	mantenía
mejoran	mejoraba
modifican	modificaba
observan	observaba
obtienen	obtenía
proponen	proponía
proporcionan	proporcionaba
reducen	reducía
roban	robaba
saben	sabía
satisfacen	satisfacía
siguen	seguía
sienten	sentía
señalan	señalaba
sufren	sufría
suman	sumaba
viajan	viajaba
