abre	abrirías
accede	accederías
aprende	aprenderías
atiende	atenderías
busca	buscarías
cambia	cambiarías
camina	caminarías
compra	comprarías
concluye	concluirías
conduce	conducirías
contiene	contendrías
decide	decidirías
dice	dirías
deja	dejarías
detiene	detendrías
discute	discutirías
disfruta	disfrutarías
entiende	entenderías
escribe	escribirías
escucha	escucharías
establece	establecerías
explica	explicarías
imagina	imaginarías
incluye	incluirías
incrementa	incrementarías
integra	integrarías
invierte	invertirías
observa	observarías
ofrece	ofrecerías
opera	operarías
participa	participarías
piensa	pensarías
permite	permitirías
presta	prestarías
previene	prevendrías
provee	proveerías
publica	publicarías
queda	quedarías
reduce	reducirías
revisa	revisarías
sabe	sabrías
sugiere	sugerirías
termina	terminarías
toma	tomarías
trabaja	trabajarías
trata	tratarías
usa	usarías
utiliza	utilizarías
verifica	verificarías
vuela	volarías
