acceder	accederán
aparecer	aparecerán
aplicar	aplicarán
asegurar	asegurarán
caminar	caminarán
consistir	consistirán
consolidar	consolidarán
cooperar	cooperarán
correr	correrán
crecer	crecerán
creer	creerán
decir	dirán
depender	dependerán
describir	describirán
descubrir	descubrirán
disfrutar	disfrutarán
ejecutar	ejecutarán
establecer	establecerán
evitar	evitarán
facilitar	facilitarán
firmar	firmarán
fomentar	fomentarán
formar	formarán
fortalecer	fortalecerán
imponer	impondrán
incluir	incluirán
incorporar	incorporarán
indicar	indicarán
jugar	jugarán
olvidar	olvidarán
organizar	organizarán
parecer	parecerán
pensar	pensarán
perder	perderán
preparar	prepararán
preservar	preservarán
prestar	prestarán
probar	probarán
promocionar	promocionarán
proteger	protegerán
recoger	recogerán
reemplazar	reemplazarán
relacionar	relacionarán
responder	responderán
robar	robarán
seleccionar	seleccionarán
sentar	sentarán
tener	tendrán
tratar	tratarán
unir	unirán
