aceleraba	acelerarán
aceptaba	aceptarán
administraba	administrarán
agradecía	agradecerán
asistía	asistirán
atendía	atenderán
avanzaba	avanzarán
bailaba	bailarán
caía	caerán
cantaba	cantarán
comprendía	comprenderán
conservaba	conservarán
consultaba	consultarán
controlaba	controlarán
creía	creerán
cuidaba	cuidarán
decía	dirán
dependía	dependerán
desempeñaba	desempeñarán
destacaba	destacarán
destruía	destruirán
ejercía	ejercerán
eliminaba	eliminarán
enseñaba	enseñarán
entendía	entenderán
evadía	evadirán
formaba	formarán
iniciaba	iniciarán
intentaba	intentarán
limitaba	limitarán
llegaba	llegarán
lograba	lograrán
luchaba	lucharán
manejaba	manejarán
mataba	matarán
obtenía	obtendrán
ofrecía	ofrecerán
oía	oirán
pensaba	pensarán
preparaba	prepararán
proporcionaba	proporcionarán
quedaba	quedarán
reemplazaba	reemplazarán
regresaba	regresarán
representaba	representarán
respondía	responderán
revisaba	revisarán
soportaba	soportarán
viajaba	viajarán
volvía	volverán
