abordé	abordarías
accedí	accederías
acepté	aceptarías
actué	actuarías
adopté	adoptarías
analicé	analizarías
aprendí	aprenderías
asistí	asistirías
caí	caerías
compartí	compartirías
compré	comprarías
convertí	convertirías
coordiné	coordinarías
creé	crearías
creí	creerías
cubrí	cubrirías
decidí	decidirías
dije	dirías
defendí	defenderías
ejecuté	ejecutarías
elaboré	elaborarías
entré	entrarías
escapé	escaparías
esperé	esperarías
existí	existirías
financié	financiarías
habilité	habilitarías
hablé	hablarías
informé	informarías
investigué	investigarías
jugué	jugarías
llegué	llegarías
lloré	llorarías
mostré	mostrarías
moví	moverías
ocurrí	ocurrirías
olvidé	olvidarías
pagué	pagarías
paré	pararías
parecí	parecerías
permanecí	permanecerías
pregunté	preguntarías
promocioné	promocionarías
proveí	proveerías
revisé	revisarías
sentí	sentirías
señalé	señalarías
tuve	tendrías
utilicé	utilizarías
visité	visitarías
