abandona	abandonamos
administra	administramos
alienta	alentamos
aprende	aprendemos
aumenta	aumentamos
averigua	averiguamos
añade	añadimos
baila	bailamos
cae	caemos
causa	causamos
combate	combatimos
come	comemos
conduce	conducimos
confía	confiamos
confirma	confirmamos
conoce	conocemos
cuenta	contamos
contiene	contenemos
da	damos
defiende	defendemos
define	definimos
demuestra	demostramos
descubre	descubrimos
dirige	dirigimos
discute	discutimos
elige	elegimos
entiende	entendemos
funciona	funcionamos
gana	ganamos
gasta	gastamos
genera	generamos
habilita	habilitamos
introduce	introducimos
va	vamos
llora	lloramos
participa	participamos
parte	partimos
pasa	pasamos
presta	prestamos
recupera	recuperamos
regresa	regresamos
representa	representamos
resuelve	resolvemos
roba	robamos
salva	salvamos
soporta	soportamos
sufre	sufrimos
supera	superamos
vive	vivimos
vuela	volamos
