alienta	alentaría
amplía	ampliaría
aplica	aplicaría
apoya	apoyaría
baila	bailaría
casa	casaría
cierra	cerraría
comparte	compartiría
considera	consideraría
decide	decidiría
desarrolla	desarrollaría
destaca	destacaría
duerme	dormiría
elabora	elaboraría
enfrenta	enfrentaría
envía	enviaría
escucha	escucharía
financia	financiaría
formula	formularía
impide	impediría
impone	impondría
incorpora	incorporaría
indica	indicaría
lee	leería
localiza	localizaría
logra	lograría
menciona	mencionaría
muestra	mostraría
obtiene	obtendría
olvida	olvidaría
para	pararía
pide	pediría
pone	pondría
presenta	presentaría
preserva	preservaría
presta	prestaría
propone	propondría
protege	protegería
recibe	recibiría
recoge	recogería
refiere	referiría
responde	respondería
salva	salvaría
satisface	satisfaría
es	sería
señala	señalaría
supera	superaría
trae	traería
usa	usaría
visita	visitaría
