acordaban	acordaréis
administraban	administraréis
aprobaban	aprobaréis
aprovechaban	aprovecharéis
atendían	atenderéis
atraían	atraeréis
ayudaban	ayudaréis
bebían	beberéis
cambiaban	cambiaréis
cantaban	cantaréis
conducían	conduciréis
confiaban	confiaréis
consideraban	consideraréis
consistían	consistiréis
cortaban	cortaréis
decían	diréis
dejaban	dejaréis
detenían	detendréis
ejecutaban	ejecutaréis
ejercían	ejerceréis
enviaban	enviaréis
establecían	estableceréis
firmaban	firmaréis
ganaban	ganaréis
gestionaban	gestionaréis
implicaban	implicaréis
imponían	impondréis
informaban	informaréis
instalaban	instalaréis
introducían	introduciréis
involucraban	involucraréis
limitaban	limitaréis
llegaban	llegaréis
localizaban	localizaréis
luchaban	lucharéis
ocurrían	ocurriréis
olvidaban	olvidaréis
organizaban	organizaréis
podían	podréis
preservaban	preservaréis
promocionaban	promocionaréis
reconocían	reconoceréis
respetaban	respetaréis
respondían	responderéis
rompían	romperéis
sumaban	sumaréis
venían	vendréis
vivían	viviréis
volaban	volaréis
volvían	volveréis
