agradecían	agradecerían
alentaban	alentarían
aplicaban	aplicarían
aprobaban	aprobarían
caían	caerían
causaban	causarían
completaban	completarían
concluían	concluirían
confiaban	confiarían
confirmaban	confirmarían
conseguían	conseguirían
consideraban	considerarían
construían	construirían
contaban	contarían
cumplían	cumplirían
daban	darían
dejaban	dejarían
descargaban	descargarían
destacaban	destacarían
determinaban	determinarían
dormían	dormirían
ejercían	ejercerían
elaboraban	elaborarían
eliminaban	eliminarían
entraban	entrarían
evitaban	evitarían
examinaban	examinarían
existían	existirían
firmaban	firmarían
ganaban	ganarían
gastaban	gastarían
habilitaban	habilitarían
imponían	impondrían
introducían	introducirían
investigaban	investigarían
mataban	matarían
mejoraban	mejorarían
obtenían	obtendrían
oían	oirían
pasaban	pasarían
pensaban	pensarían
perdían	perderían
prevenían	prevendrían
probaban	probarían
publicaban	publicarían
reconocían	reconocerían
reducían	reducirían
resolvían	resolverían
rompían	romperían
sacaban	sacarían
