aceptaría	aceptaríais
aplicaría	aplicaríais
casaría	casaríais
completaría	completaríais
compraría	compraríais
comprobaría	comprobaríais
consideraría	consideraríais
cooperaría	cooperaríais
correría	correríais
decidiría	decidiríais
describiría	describiríais
descubriría	descubriríais
destacaría	destacaríais
determinaría	determinaríais
discutiría	discutiríais
dormiría	dormiríais
encontraría	encontraríais
estaría	estaríais
financiaría	financiaríais
firmaría	firmaríais
formularía	formularíais
garantizaría	garantizaríais
gastaría	gastaríais
habría	habríais
habilitaría	habilitaríais
haría	haríais
identificaría	identificaríais
imaginaría	imaginaríais
incluiría	incluiríais
introduciría	introduciríais
limitaría	limitaríais
observaría	observaríais
organizaría	organizaríais
oiría	oiríais
prepararía	prepararíais
prevendría	prevendríais
quedaría	quedaríais
reduciría	reduciríais
representaría	representaríais
respondería	responderíais
revisaría	revisaríais
sacaría	sacaríais
seguiría	seguiríais
sentaría	sentaríais
serviría	serviríais
solicitaría	solicitaríais
supervisaría	supervisaríais
trataría	trataríais
utilizaría	utilizaríais
vería	veríais
