administraba	administré
adquiría	adquirí
aprovechaba	aproveché
atendía	atendí
averiguaba	averigüé
bailaba	bailé
cambiaba	cambié
casaba	casé
causaba	causé
comenzaba	comencé
compartía	compartí
conservaba	conservé
cortaba	corté
daba	di
descubría	descubrí
dormía	dormí
encontraba	encontré
escribía	escribí
evitaba	evité
ganaba	gané
guardaba	guardé
hacía	hice
identificaba	identifiqué
incluía	incluí
iniciaba	inicié
intentaba	intenté
limitaba	limité
limpiaba	limpié
llamaba	llamé
mataba	maté
mejoraba	mejoré
moría	morí
ocurría	ocurrí
pasaba	pasé
podía	pude
preguntaba	pregunté
preservaba	preservé
prestaba	presté
reforzaba	reforcé
requería	requerí
revisaba	revisé
señalaba	señalé
solicitaba	solicité
sufría	sufrí
sumaba	sumé
traía	traje
trataba	traté
vendía	vendí
viajaba	viajé
volvía	volví
