aceleramos	aceleráis
aceptamos	aceptáis
apoyamos	apoyáis
aprobamos	aprobáis
aprovechamos	aprovecháis
asistimos	asistís
averiguamos	averiguáis
bailamos	bailáis
buscamos	buscáis
concluimos	concluís
conducimos	conducís
consultamos	consultáis
contamos	contáis
contenemos	contenéis
contribuimos	contribuís
cumplimos	cumplís
decidimos	decidís
desarrollamos	desarrolláis
descubrimos	descubrís
desempeñamos	desempeñáis
destacamos	destacáis
discutimos	discutís
elaboramos	elaboráis
eliminamos	elimináis
entramos	entráis
enviamos	enviáis
estudiamos	estudiáis
evaluamos	evaluáis
firmamos	firmáis
fomentamos	fomentáis
formulamos	formuláis
hacemos	hacéis
identificamos	identificáis
incrementamos	incrementáis
llegamos	llegáis
luchamos	lucháis
modificamos	modificáis
morimos	morís
observamos	observáis
ofrecemos	ofrecéis
olvidamos	olvidáis
parecemos	parecéis
partimos	partís
perdemos	perdéis
probamos	probáis
proponemos	proponéis
representamos	representáis
sentimos	sentís
terminamos	termináis
volvemos	volvéis
