abrirá	abriría
acelerará	aceleraría
alcanzará	alcanzaría
alentará	alentaría
animará	animaría
aprobará	aprobaría
aprovechará	aprovecharía
asegurará	aseguraría
añadirá	añadiría
comerá	comería
completará	completaría
conservará	conservaría
crecerá	crecería
dependerá	dependería
detendrá	detendría
disfrutará	disfrutaría
elegirá	elegiría
eliminará	eliminaría
enseñará	enseñaría
evadirá	evadiría
evaluará	evaluaría
gastará	gastaría
guardará	guardaría
imaginará	imaginaría
impedirá	impediría
implicará	implicaría
impondrá	impondría
indicará	indicaría
iniciará	iniciaría
involucrará	involucraría
luchará	lucharía
matará	mataría
ofrecerá	ofrecería
pagará	pagaría
parará	pararía
pondrá	pondría
presentará	presentaría
producirá	produciría
propondrá	propondría
proporcionará	proporcionaría
publicará	publicaría
quedará	quedaría
realizará	realizaría
reconocerá	reconocería
saldrá	saldría
sentará	sentaría
sufrirá	sufriría
sumará	sumaría
supervisará	supervisaría
tratará	trataría
